IRIS,Région,Département,Unité urbaine,Commune ou ARM,Libellé commune ou ARM,TRIRIS,Grand quartier,Libellé de l'IRIS,Type d'IRIS,Modification de l'IRIS,Label de l'IRIS,Pop 15-64 ans en 2017 (princ),Pop 15-24 ans en 2017 (princ),Pop 25-54 ans en 2017 (princ),Pop 55-64 ans en 2017 (princ),Pop 15-64 ans Hommes en 2017 (princ),Pop 15-24 ans Hommes en 2017 (princ),Pop 25-54 ans Hommes en 2017 (princ),Pop 55-64 ans Hommes en 2017 (princ),Pop 15-64 ans Femmes en 2017 (princ),Pop 15-24 ans Femmes en 2017 (princ),Pop 25-54 ans Femmes en 2017 (princ),Pop 55-64 ans Femmes en 2017 (princ),Actifs 15-64 ans en 2017 (princ),Actifs 15-24 ans en 2017 (princ),Actifs 25-54 ans en 2017 (princ),Actifs 55-64 ans en 2017 (princ),Actifs 15-64 ans Hommes en 2017 (princ),Actifs 15-24 ans Hommes en 2017 (princ),Actifs 25-54 ans Hommes en 2017 (princ),Actifs 55-64 ans Hommes en 2017 (princ),Actifs 15-64 ans Femmes en 2017 (princ),Actifs 15-24 ans Femmes en 2017 (princ),Actifs 25-54 ans Femmes en 2017 (princ),Actifs 55-64 ans Femmes en 2017 (princ),Actifs occupés 15-64 ans en 2017 (princ),Actifs occupés 15-24 ans en 2017 (princ),Actifs occupés 25-54 ans en 2017 (princ),Actifs occupés 55-64 ans en 2017 (princ),Actifs occupés 15-64 ans Hommes en 2017 (princ),Actifs occupés 15-24 ans Hommes en 2017 (princ),Actifs occupés 25-54 ans Hommes en 2017 (princ),Actifs occupés 55-64 ans Hommes en 2017 (princ),Actifs occupés 15-64 ans Femmes en 2017 (princ),Actifs occupés 15-24 ans Femmes en 2017 (princ),Actifs occupés 25-54 ans Femmes en 2017 (princ),Actifs occupés 55-64 ans Femmes en 2017 (princ),Chômeurs 15-64 ans en 2017 (princ),Chômeurs 15-24 ans en 2017 (princ),Chômeurs 25-54 ans en 2017 (princ),Chômeurs 55-64 ans en 2017 (princ),Chômeurs 15-64 ans Hommes en 2017 (princ),Chômeurs 15-64 ans Femmes en 2017 (princ),Inactifs 15-64 ans en 2017 (princ),Inactifs 15-64 ans Hommes en 2017 (princ),Inactifs 15-64 ans Femmes en 2017 (princ),Elèv. Etud. Stag. non rémunérés 15-64 ans en 2017 (princ),Elèv. Etud. Stag. non rémunérés 15-64 ans Hommes en 2017 (princ),Elèv. Etud. Stag. non rémunérés 15-64 ans Femmes en 2017 (princ),Retraités Préretraités 15-64 ans en 2017 (princ),Retraités Préretraités 15-64 ans Hommes en 2017 (princ),Retraités Préretraités 15-64 ans Femmes en 2017 (princ),Autres inactifs 15-64 ans en 2017 (princ),Autres inactifs 15-64 ans Hommes en 2017 (princ),Autres inactifs 15-64 ans Femmes en 2017 (princ),Actifs 15-64 ans en 2017 (compl),Actifs 15-64 ans Agriculteurs exploitants en 2017 (compl),"Actifs 15-64 ans Artisans, Comm., Chefs entr. en 2017 (compl)","Actifs 15-64 ans Cadres, Prof. intel. sup. en 2017 (compl)",Actifs 15-64 ans Prof. intermédiaires en 2017 (compl),Actifs 15-64 ans Employés en 2017 (compl),Actifs 15-64 ans Ouvriers en 2017 (compl),Actifs occupés 15-64 ans en 2017 (compl),Actifs occ 15-64 ans Agriculteurs exploitants en 2017 (compl),"Actifs occ 15-64 ans Artisans, Comm., Chefs entr. en 2017 (compl)",Actifs occ 15-64 ans Cadres Prof. intel. sup. en 2017 (compl),Actifs occ 15-64 ans Prof. intermédiaires en 2017 (compl),Actifs occupés 15-64 ans Employés en 2017 (compl),Actifs occupés 15-64 ans Ouvriers en 2017 (compl),Actifs occupés 15 ans ou plus en 2017 (princ),Actifs occupés 15 ans ou plus Hommes en 2017 (princ),Actifs occupés 15 ans ou plus Femmes en 2017 (princ),Salariés 15 ans ou plus en 2017 (princ),Salariés 15 ans ou plus Hommes en 2017 (princ),Salariés 15 ans ou plus Femmes en 2017 (princ),Non-salariés 15 ans ou plus en 2017 (princ),Non-salariés 15 ans ou plus Hommes en 2017 (princ),Non-salariés 15 ans ou plus Femmes en 2017 (princ),Actifs occ 15 ans ou plus TP en 2017 (princ),Salariés 15 ans ou plus TP en 2017 (princ),Salariés 15 ans ou plus TP Hommes en 2017 (princ),Salariés 15 ans ou plus TP Femmes en 2017 (princ),Non-salariés 15 ans ou plus TP en 2017 (princ),"Salariés 15 ans ou plus Fonct publ, CDI en 2017 (princ)",Salariés 15 ans ou plus CDD en 2017 (princ),Salariés 15 ans ou plus Intérim en 2017 (princ),Salariés 15 ans ou plus Emplois aidés en 2017 (princ),Salariés 15 ans ou plus Apprentissage - Stage en 2017 (princ),Non-salariés 15 ans ou plus Indépendants en 2017 (princ),Non-salariés 15 ans ou plus Employeurs en 2017 (princ),Non-salariés 15 ans ou plus Aides familiaux en 2017 (princ),Actif occ 15 ans ou plus travaille commune résidence en 2017 (princ),Actif occ 15 ans ou plus travaille autre commune que commune résidence en 2017 (princ),Actif occ 15 ans ou plus travaille autre commune même dépt résidence en 2017 (princ),Actif occ 15 ans ou plus travaille autre dépt même région résidence en 2017 (princ),Actif occ 15 ans ou plus travaille autre région en métropole en 2017 (princ),Actif occ 15 ans ou plus travaille autre région hors métropole en 2017 (princ),Actif occ 15 ans ou plus en 2017 (compl),Actifs occ 15 ans ou plus pas de transport pour travail en 2017 (compl),Actifs occ 15 ans ou plus marche à pied pour travail en 2017 (compl),Actifs occ 15 ans ou plus vélo en 2017 (compl),Actifs occ 15 ans ou plus deux-roues motorisé en 2017 (compl),Actifs occ 15 ans ou plus voiture en 2017 (compl),Actifs occ 15 ans ou plus transport en commun en 2017 (compl)
290110000,53,29,29701,29011,Bohars,ZZZZZZ,2901100,Bohars (commune non irisée),Z,0,5,1949,357,1074,518,967,188,520,259,982,169,554,259,1415,124,1015,276,714,72,506,136,701,52,509,140,1296,88,945,263,651,50,471,130,645,38,474,133,119,36,70,13,63,56,534,253,281,234,117,117,206,113,93,94,23,71,1380,5,105,330,430,305,190,1300,5,105,320,415,270,185,1311,660,651,1139,562,577,172,98,74,252,226,35,191,26,1021,69,14,10,25,82,88,2,176,1135,1099,9,23,4,1325,35,65,20,10,1155,40
290190102,53,29,29701,29019,Brest,290051,2901901,Maison Blanche-Le Portzic,A,0,3,192,49,116,27,89,22,54,14,102,27,62,14,130,11,105,14,59,3,51,5,70,8,54,8,127,11,102,14,59,3,51,5,67,8,51,8,3,0,3,0,0,3,62,30,32,38,19,19,16,11,5,8,0,8,130,0,0,24,27,46,30,127,0,0,24,27,46,30,127,59,67,119,57,62,8,3,5,30,30,8,22,0,100,13,3,0,3,8,0,0,97,30,22,0,5,3,127,8,5,5,0,94,13
290190103,53,29,29701,29019,Brest,290051,2901901,Kerargaouyat-Le Cruguel,H,0,1,1292,221,843,228,613,102,407,104,679,119,437,124,973,72,783,118,480,26,396,58,493,46,387,61,858,56,696,107,434,24,359,52,424,32,337,55,115,16,87,11,46,69,319,133,186,145,76,69,104,52,51,71,5,66,973,0,34,183,298,328,117,858,0,30,176,269,292,91,867,440,427,804,403,401,63,37,26,162,144,28,116,18,686,86,7,6,20,50,12,0,686,181,168,4,9,0,867,35,23,29,24,694,62
290190104,53,29,29701,29019,Brest,290031,2901901,Poulleder-Kernabat,H,0,1,1324,256,825,243,675,160,397,117,649,96,428,126,988,93,763,132,502,62,376,64,486,31,387,68,895,75,705,114,461,53,353,55,434,22,353,59,93,18,57,17,42,52,335,172,163,156,96,61,99,55,44,80,22,59,988,0,33,230,308,294,117,895,0,30,226,280,255,103,904,466,437,833,439,394,71,27,44,175,157,21,136,17,692,105,9,0,27,53,18,0,711,192,169,9,14,0,904,23,32,44,12,689,103
290190105,53,29,29701,29019,Brest,290031,2901901,Saint-Pierre,H,0,1,1334,323,826,185,685,165,428,92,649,158,398,93,868,130,660,78,463,69,345,50,405,61,316,28,636,85,493,59,349,47,267,36,287,38,226,23,232,45,168,19,114,118,466,222,244,152,92,61,62,34,28,251,96,155,868,0,27,89,156,353,218,636,0,27,78,136,254,141,644,349,295,607,327,280,37,23,15,135,131,37,94,4,435,135,6,18,15,24,14,0,497,147,130,0,17,0,644,6,54,22,15,421,126
290190106,53,29,29701,29019,Brest,290051,2901901,Mesdoun,H,0,1,1510,313,904,293,724,171,408,146,786,143,496,147,1075,95,818,162,530,48,388,93,545,46,429,69,961,63,747,151,481,31,363,88,479,32,384,63,114,32,71,12,49,65,435,194,241,224,125,98,89,42,46,123,26,97,1075,3,35,340,310,286,87,961,3,32,319,291,245,70,969,487,482,854,418,436,115,69,46,157,137,14,122,20,711,103,11,3,26,71,44,0,765,204,186,6,12,0,969,35,50,61,19,741,63
290190107,53,29,29701,29019,Brest,290021,2901901,Kerbonne,H,0,1,1700,369,1056,275,906,179,607,121,794,190,449,155,1280,185,930,165,741,116,555,69,540,69,375,96,1083,144,793,145,623,100,468,55,459,44,326,90,197,41,137,20,117,80,420,166,255,174,51,123,88,59,29,158,55,103,1283,0,24,263,340,390,239,1083,0,24,259,301,329,169,1088,629,459,1016,584,432,72,45,27,197,179,63,116,18,774,190,14,8,29,57,13,3,803,285,242,11,32,0,1088,15,74,60,28,739,173
290190108,53,29,29701,29019,Brest,290021,2901901,Les Quatre Moulins,H,0,1,1680,444,971,265,867,240,503,124,813,204,468,141,1262,271,869,121,671,141,473,57,591,130,397,65,1029,195,721,113,552,106,392,54,477,89,329,59,233,76,148,9,119,114,418,196,222,170,99,71,115,58,57,133,39,94,1262,0,29,208,264,472,271,1029,0,26,205,228,385,185,1044,558,486,989,531,458,55,27,28,232,218,54,163,14,746,178,21,7,37,41,14,0,767,276,240,16,17,3,1044,21,54,43,6,704,217
290190109,53,29,29701,29019,Brest,290031,2901901,Kerourien Sud,H,0,2,1211,289,695,228,633,140,371,122,578,149,324,106,863,145,619,100,461,76,327,58,402,69,292,42,735,112,534,89,397,59,286,52,337,53,248,36,129,33,85,11,64,65,348,172,176,152,75,77,104,61,43,91,36,55,863,0,23,129,202,294,201,735,0,15,126,177,245,171,743,400,343,699,382,317,44,18,26,131,124,21,103,7,531,133,11,9,15,26,18,0,544,199,176,21,3,0,743,11,33,28,11,534,126
290190110,53,29,29701,29019,Brest,290031,2901901,Kerourien-Valy-Hir,H,0,1,1486,331,877,278,704,195,391,117,783,136,486,161,928,143,684,101,485,91,347,48,443,52,337,54,625,76,472,76,358,47,277,33,267,30,195,43,304,67,212,25,128,176,558,218,340,169,91,78,112,64,48,276,64,213,928,0,36,27,144,323,343,625,0,31,24,112,228,229,630,360,270,600,338,261,31,22,8,162,154,38,116,8,456,94,22,14,13,28,3,0,487,143,138,6,0,0,630,20,44,25,7,382,153
290190112,53,29,29701,29019,Brest,290041,2901901,La Cavale Blanche Ouest-Mesnos,H,0,1,2209,476,1248,485,1072,272,592,208,1137,205,656,276,1535,172,1116,247,782,116,559,107,753,55,557,140,1340,117,1014,210,689,78,518,92,651,38,495,117,195,55,102,37,93,102,674,290,384,292,144,149,180,92,88,203,55,148,1535,3,52,187,417,573,275,1340,3,52,167,393,491,235,1348,692,657,1254,638,616,95,54,41,282,265,45,219,18,1043,140,21,14,36,47,47,0,1042,306,275,12,20,0,1348,60,24,40,38,1064,123
